"GEOID","NAME","total_popE","whiteE","blackE","asianE","hispanicE","year"
"1761223","Port Byron village, Illinois",1708,1568,0,0,97,2015
"1704936","Bellmont village, Illinois",204,204,0,0,0,2015
"1783102","Woodland village, Illinois",328,310,2,0,10,2015
"1717185","Crainville village, Illinois",1287,1216,14,24,16,2015
"1717289","Creal Springs city, Illinois",446,429,0,17,0,2015
"1734358","Herrin city, Illinois",12797,12082,316,9,305,2015
"1735073","Hillsdale village, Illinois",547,500,4,0,26,2015
"1746916","Marion city, Illinois",17588,15163,1217,308,487,2015
"1722567","Edgewood village, Illinois",507,470,0,36,1,2015
"1722736","Effingham city, Illinois",12513,11798,96,111,390,2015
"1747449","Mason town, Illinois",463,457,0,5,0,2015
"1750283","Montrose village, Illinois",280,228,0,9,25,2015
"1756237","Oquawka village, Illinois",1367,1288,6,0,34,2015
"1744264","Loda village, Illinois",323,288,19,0,12,2015
"1757576","Papineau village, Illinois",306,273,0,1,7,2015
"1738544","Johnston City city, Illinois",3531,3301,5,94,75,2015
"1759312","Petersburg city, Illinois",2357,2220,6,12,23,2015
"1702882","Atwood village, Illinois",1115,1091,3,0,6,2015
"1712268","Cerro Gordo village, Illinois",1348,1292,8,0,3,2015
"1705300","Benton city, Illinois",7319,6806,38,56,297,2015
"1729483","Glasford village, Illinois",1201,1189,0,5,6,2015
"1749386","Millstadt village, Illinois",3930,3836,26,0,68,2015
"1752142","New Baden village, Illinois",3432,3117,126,62,75,2015
"1769524","Shiloh village, Illinois",12902,8932,2516,345,661,2015
"1702674","Athens city, Illinois",1776,1669,33,0,24,2015
"1780073","West City village, Illinois",709,678,0,0,22,2015
"1731589","Greenville city, Illinois",6842,5351,746,125,385,2015
"1702479","Ashkum village, Illinois",795,781,10,0,0,2015
"1738791","Junction City village, Illinois",513,504,4,2,3,2015
"1767236","Salem city, Illinois",7054,6614,72,94,128,2015
"1710370","Cahokia village, Illinois",14740,4977,8820,126,367,2015
"1779007","Washburn village, Illinois",1028,965,10,0,32,2015
"1721826","East Galesburg village, Illinois",801,772,9,0,15,2015
"1766196","Royal Lakes village, Illinois",155,56,72,1,4,2015
"1772234","Standard City village, Illinois",214,210,0,0,0,2015
"1755912","Olney city, Illinois",9085,8644,64,44,149,2015
"1736061","Hoopeston city, Illinois",5420,4638,126,0,636,2015
"1737348","Indianola village, Illinois",368,364,1,0,0,2015
"1751336","Muncie village, Illinois",193,193,0,0,0,2015
"1744173","Loami village, Illinois",932,790,3,2,117,2015
"1762367","Quincy city, Illinois",40763,36445,2365,515,630,2015
"1777044","Ursa village, Illinois",639,627,0,2,10,2015
"1708420","Broadlands village, Illinois",380,366,1,3,8,2015
"1758174","Pawnee village, Illinois",2730,2674,10,5,11,2015
"1738323","Jeffersonville village, Illinois",497,492,5,0,0,2015
"1738531","Johnsonville village, Illinois",57,57,0,0,0,2015
"1779436","Wayne City village, Illinois",1138,1125,5,0,6,2015
"1764135","Ringwood village, Illinois",791,700,11,33,34,2015
"1776160","Trout Valley village, Illinois",557,525,1,3,21,2015
"1715352","Coffeen city, Illinois",405,393,0,1,2,2015
"1753169","Nokomis city, Illinois",2294,2223,39,0,27,2015
