"GEOID","NAME","median_incomeE","year"
"1718472","Damiansville village, Illinois",69063,2015
"1739441","Kempton village, Illinois",55625,2015
"1710084","Bush village, Illinois",32813,2015
"1749048","Milford village, Illinois",37604,2015
"1756081","Onarga village, Illinois",41010,2015
"1751349","Mundelein village, Illinois",76750,2015
"1757654","Park City city, Illinois",42099,2015
"1775874","Tower Lakes village, Illinois",152917,2015
"1769277","Sheridan village, Illinois",56528,2015
"1776225","Troy Grove village, Illinois",54286,2015
"1725375","Farina village, Illinois",36719,2015
"1737933","Iuka village, Illinois",40208,2015
"1758057","Patoka village, Illinois",42778,2015
"1700867","Allenville village, Illinois",44375,2015
"1700958","Alorton village, Illinois",20600,2015
"1725713","Fayetteville village, Illinois",46500,2015
"1744446","London Mills village, Illinois",43438,2015
"1746695","Maquon village, Illinois",48250,2015
"1766677","St. Augustine village, Illinois",42500,2015
"1705209","Benld city, Illinois",36406,2015
"1721852","East Gillespie village, Illinois",60909,2015
"1749802","Modesto village, Illinois",47083,2015
"1767873","Sawyerville village, Illinois",40536,2015
"1781191","White City village, Illinois",39375,2015
"1724985","Fairmount village, Illinois",40536,2015
"1747163","Marshall city, Illinois",46161,2015
"1719915","Dieterich village, Illinois",43984,2015
"1705898","Biggsville village, Illinois",56667,2015
"1716613","Coulterville village, Illinois",40179,2015
"1721540","Earlville city, Illinois",37381,2015
"1761639","Prairie du Rocher village, Illinois",43056,2015
"1732616","Hanaford village, Illinois",32750,2015
"1710773","Campbell Hill village, Illinois",47969,2015
"1718446","Dalton City village, Illinois",57917,2015
"1764759","Rochester village, Illinois",92188,2015
"1714455","Cisne village, Illinois",30982,2015
"1711982","Cedar Point village, Illinois",62500,2015
"1744823","Lostant village, Illinois",55313,2015
"1712151","Central City village, Illinois",33869,2015
"1767444","Sandoval village, Illinois",29097,2015
"1770031","Sims village, Illinois",42917,2015
"1756159","Oneida city, Illinois",60556,2015
"1729392","Girard city, Illinois",39101,2015
"1707133","Bolingbrook village, Illinois",77506,2015
"1723945","Elwood village, Illinois",58542,2015
"1730120","Godley village, Illinois",55893,2015
"1747540","Matteson village, Illinois",76638,2015
"1776935","University Park village, Illinois",45062,2015
"1738570","Joliet city, Illinois",60976,2015
"1781802","Williamsfield village, Illinois",50625,2015
"1711202","Carlinville city, Illinois",39121,2015
"1721410","Eagarville village, Illinois",46250,2015
"1757043","Owaneco village, Illinois",42500,2015
"1734137","Henning village, Illinois",37083,2015
"1700880","Allerton village, Illinois",60000,2015
"1757693","Parkersburg village, Illinois",36042,2015
"1704689","Belgium village, Illinois",41875,2015
"1762744","Rankin village, Illinois",35833,2015
"1775783","Toulon city, Illinois",42875,2015
"1722398","Eddyville village, Illinois",18125,2015
"1710110","Bushnell city, Illinois",34912,2015
"1737439","Industry village, Illinois",58000,2015
"1713074","Cherry Valley village, Illinois",56250,2015
"1751453","Murphysboro city, Illinois",36098,2015
"1777525","Vergennes village, Illinois",35536,2015
"1780736","West Peoria city, Illinois",42500,2015
"1774379","Tallula village, Illinois",58333,2015
"1742860","Lenzburg village, Illinois",36875,2015
"1773547","Summerfield village, Illinois",57500,2015
"1711228","Carlyle city, Illinois",60492,2015
"1729041","Germantown village, Illinois",55000,2015
"1764655","Roberts village, Illinois",33846,2015
"1777681","Vernon village, Illinois",29375,2015
"1735835","Homer Glen village, Illinois",91257,2015
"1731446","Green Oaks village, Illinois",159402,2015
"1750998","Mount Morris village, Illinois",41733,2015
"1733136","Harrisburg city, Illinois",33764,2015
"1752714","New Minden village, Illinois",49250,2015
"1778721","Wamac city, Illinois",29188,2015
"1710513","Calumet Park village, Illinois",47050,2015
"1721904","East Hazel Crest village, Illinois",45353,2015
"1724582","Evanston city, Illinois",70041,2015
"1724634","Evergreen Park village, Illinois",64385,2015
"1726935","Forest Park village, Illinois",51927,2015
"1735086","Hillside village, Illinois",50787,2015
"1735385","Hodgkins village, Illinois",48750,2015
"1742028","Lansing village, Illinois",48949,2015
"1740793","La Grange Park village, Illinois",75116,2015
"1747774","Maywood village, Illinois",42298,2015
"1753377","Norridge village, Illinois",58209,2015
"1753663","Northfield village, Illinois",96989,2015
"1702258","Aroma Park village, Illinois",55938,2015
"1706587","Bloomingdale village, Illinois",74494,2015
"1744407","Lombard village, Illinois",69787,2015
"1780645","Westmont village, Illinois",55767,2015
"1781048","Wheaton city, Illinois",85705,2015
"1746500","Manteno village, Illinois",62656,2015
"1701361","Anchor village, Illinois",47813,2015
"1736438","Hudson village, Illinois",81458,2015
